"name","pos","gp","min","wp48","pop48","wins","pts","reb","ast","to","blk","stl","pf","year","team"
"Andrew Bogut","C (5.0)","32","785",".178","2.4","2.90","11.4","15.0","4.1","2.1","3.4","1.2","5.2",2012,"gsw"
"Andris Biedrins","C (5.0)","53","495",".171","2.2","1.76","2.3","14.8","1.4","1.4","4.1","1.5","9.8",2012,"gsw"
"Brandon Rush","SF (3.0)","2","26","-.064","-5.1","-0.03","25.8","1.8","3.7","5.5","0.0","0.0","9.2",2012,"gsw"
"Carl Landry","PF (4.8)","81","1880",".146","1.4","5.70","22.3","12.3","1.7","2.9","0.8","0.9","4.9",2012,"gsw"
"Charles Jenkins","SG (2.0)","47","289","-.041","-4.4","-0.25","13.5","3.5","4.7","3.2","0.2","1.5","3.0",2012,"gsw"
"David Lee","PF (4.0)","79","2906",".141","1.3","8.51","24.1","14.6","4.6","3.4","0.4","1.1","4.1",2012,"gsw"
"Draymond Green","SF (3.0)","79","1061",".072","-0.9","1.58","10.3","11.8","2.4","2.3","1.1","1.9","7.2",2012,"gsw"
"Festus Ezeli","C (5.0)","78","1124",".113","0.4","2.63","8.2","13.4","0.9","2.7","3.2","1.0","6.7",2012,"gsw"
"Harrison Barnes","SF (3.3)","81","2061",".052","-1.5","2.21","17.4","7.8","2.3","2.4","0.3","1.2","3.3",2012,"gsw"
"Jarrett Jack","SG (1.6)","79","2354",".135","1.1","6.61","20.9","5.0","8.9","3.2","0.2","1.2","2.7",2012,"gsw"
"Jeremy Tyler","C (5.0)","20","62","-.195","-9.2","-0.25","17.0","13.2","0.8","4.6","1.5","0.8","7.7",2012,"gsw"
"Kent Bazemore","SG (2.0)","61","266","-.072","-5.3","-0.40","22.2","4.0","4.0","3.2","0.7","3.1","4.9",2012,"gsw"
"Klay Thompson","SG (2.3)","82","2935",".036","-2.0","2.20","22.2","5.0","3.0","2.6","0.7","1.4","3.9",2012,"gsw"
"Malcolm Thomas","PF (4.0)","5","21",".123","0.8","0.05","6.9","11.4","4.6","2.3","2.3","0.0","2.3",2012,"gsw"
"Richard Jefferson","SF (3.0)","56","568",".115","0.5","1.36","14.9","7.1","2.6","1.9","0.6","1.2","3.8",2012,"gsw"
"Stephen Curry","PG (1.0)","78","2987",".205","3.3","12.76","28.7","5.0","8.6","3.9","0.2","2.0","3.2",2012,"gsw"
"Andre Iguodala","SF (2.5)","63","2040",".243","4.5","10.31","13.8","6.9","6.2","2.4","0.4","2.2","2.4",2013,"gsw"
"Andrew Bogut","C (4.8)","67","1769",".311","6.6","11.46","13.3","18.2","3.0","2.6","3.3","1.3","5.7",2013,"gsw"
"David Lee","PF (3.7)","69","2288",".146","1.4","6.94","26.4","13.5","3.1","3.2","0.5","1.0","4.3",2013,"gsw"
"Dewayne Dedmon","C (5.0)","4","6","-.473","-17.8","-0.06","8.0","0.0","0.0","0.0","0.0","0.0","8.0",2013,"gsw"
"Draymond Green","PF (4.0)","82","1797",".099","-0.0","3.69","13.6","10.9","4.1","2.4","1.9","2.7","6.2",2013,"gsw"
"Harrison Barnes","SF (3.0)","78","2204",".062","-1.2","2.83","16.1","6.8","2.5","1.8","0.4","1.4","3.4",2013,"gsw"
