"name","pos","gp","min","wp48","pop48","wins","pts","reb","ast","to","blk","stl","pf","year","team"
"Adonal Foyle","C (5.0)","76","1652",".134","1.1","4.60","12.2","12.3","1.2","2.1","4.0","0.8","6.3",1999,"gsw"
"Antawn Jamison","F (3.5)","43","1556",".045","-1.7","1.45","25.9","11.1","2.8","3.5","0.5","0.9","3.5",1999,"gsw"
"Bill Curley","F (3.5)","24","259","-.037","-4.2","-0.20","11.9","7.8","2.6","3.2","0.7","2.0","9.5",1999,"gsw"
"Billy Owens","SF (3.0)","16","386",".141","1.3","1.13","12.8","13.6","4.7","3.0","0.6","0.9","5.8",1999,"gsw"
"Chris Carr","SG (2.0)","7","74","-.119","-6.8","-0.18","25.3","8.4","1.9","3.2","0.6","0.0","7.8",1999,"gsw"
"Chris Mills","SF (3.0)","20","649",".092","-0.2","1.24","23.8","9.1","3.5","1.8","0.3","1.3","4.4",1999,"gsw"
"Damon Jones","PG (1.0)","13","196",".135","1.1","0.55","16.7","3.9","9.6","3.7","0.0","1.5","3.2",1999,"gsw"
"Donyell Marshall","F (3.5)","64","2072",".157","1.8","6.79","21.1","14.8","3.9","2.8","1.6","1.6","4.2",1999,"gsw"
"Drew Barry","PG (2.0)","8","85",".087","-0.4","0.15","12.4","4.5","9.6","3.4","0.0","1.1","7.9",1999,"gsw"
"Erick Dampier","C (5.0)","21","496","-.060","-4.9","-0.62","16.2","13.0","1.8","2.8","1.5","0.8","7.3",1999,"gsw"
"Jamel Thomas","SF (3.0)","4","27","-.145","-7.6","-0.08","10.7","5.3","7.1","7.1","0.0","1.8","3.6",1999,"gsw"
"Jason Caffey","PF (4.2)","71","2150",".008","-2.8","0.36","19.0","10.8","2.7","3.8","0.4","1.4","6.0",1999,"gsw"
"John Starks","G (2.0)","33","1109","-.039","-4.3","-0.91","21.0","3.9","7.4","2.8","0.1","1.6","4.0",1999,"gsw"
"Larry Hughes","GF (2.1)","32","1306","-.033","-4.1","-0.89","26.6","7.0","4.8","3.7","0.6","2.2","3.6",1999,"gsw"
"Mark Davis","GF (2.5)","23","464",".052","-1.5","0.50","14.8","8.7","3.9","4.1","0.4","2.6","5.4",1999,"gsw"
"Mookie Blaylock","PG (1.0)","73","2449",".154","1.7","7.85","16.1","5.3","9.6","2.8","0.4","2.9","2.4",1999,"gsw"
"Sam Jacobson","GF (2.5)","49","663",".048","-1.6","0.67","17.7","5.1","2.2","2.2","0.2","2.1","8.1",1999,"gsw"
"Sam Mack","GF (2.5)","23","333","-.065","-5.1","-0.45","16.4","5.6","3.5","2.7","0.1","2.6","6.5",1999,"gsw"
"Terry Cummings","PF (4.0)","22","398","-.033","-4.1","-0.28","22.2","12.9","2.5","3.3","1.0","1.6","8.9",1999,"gsw"
"Tim Legler","SG (2.0)","23","284","-.028","-3.9","-0.16","13.0","3.9","4.1","1.0","0.2","0.7","5.6",1999,"gsw"
