"name","team","position","rotation"
"Stephen Curry","gsw",1,1
"Jordan Poole","gsw",2,1
"Andrew Wiggins","gsw",3,1
"Draymond Green","gsw",4,1
"Kevon Looney","gsw",5,1
"Reggie Jackson","lac",1,1
"Eric Bledsoe","lac",2,1
"Paul George","lac",3,1
"Marcus Morris Sr.","lac",4,1
"Ivica Zubac","lac",5,1
"Russell Westbrook","lal",1,1
"Wayne Ellington","lal",2,1
"Kent Bazemore","lal",3,1
"LeBron James","lal",4,1
"Anthony Davis","lal",5,1
"Chris Paul","pho",1,1
"Devin Booker","pho",2,1
"Mikal Bridges","pho",3,1
"Jae Crowder","pho",4,1
"Deandre Ayton","pho",5,1
"De'Aaron Fox","sac",1,1
"Tyrese Haliburton","sac",2,1
"Harrison Barnes","sac",3,1
"Moe Harkless","sac",4,1
"Richaun Holmes","sac",5,1
"Luka Doncic","dal",1,1
"Tim Hardaway Jr.","dal",2,1
"Dorian Finney-Smith","dal",3,1
"Kristaps Porzingis","dal",4,1
"Dwight Powell","dal",5,1
"Kevin Porter Jr.","hou",1,1
"Jalen Green","hou",2,1
"Jae'Sean Tate","hou",3,1
"Daniel Theis","hou",4,1
"Christian Wood","hou",5,1
"Ja Morant","mem",1,1
"Dillon Brooks","mem",2,1
"Desmond Bane","mem",3,1
"Jaren Jackson Jr.","mem",4,1
"Steven Adams","mem",5,1
"Devonte' Graham","nor",1,1
"Nickeil Alexander-Walker","nor",2,1
"Brandon Ingram","nor",3,1
"Zion Williamson","nor",4,1
"Jonas Valanciunas","nor",5,1
"Dejounte Murray","sas",1,1
"Derrick White","sas",2,1
"Doug McDermott","sas",3,1
"Keldon Johnson","sas",4,1
"Jakob Poeltl","sas",5,1
"Monte Morris","den",1,1
"Will Barton","den",2,1
"Michael Porter Jr.","den",3,1
"Aaron Gordon","den",4,1
"Nikola Jokic","den",5,1
"D'Angelo Russell","min",1,1
"Anthony Edwards","min",2,1
"Josh Okogie","min",3,1
"Jaden McDaniels","min",4,1
"Karl-Anthony Towns","min",5,1
"Shai Gilgeous-Alexander","okc",1,1
