name,pos,gp,min,wp48,pop48,wins,pts,reb,ast,to,blk,stl,pf,year,team,draft_rtg,draftyear,_merge
Aaron Gordon,SF (3.0),47,797,.138,1.2,2.29,14.6,10.2,2,2.3,1.3,1.3,5,2014,orl,84.5,2014,matched (3)
Aaron Holiday,PG (1.0),50,646,-.0040000002,-3.2,-.050000001,21.799999,5,6.5,3,1,1.6,5.3000002,2018,ind,70,2018,matched (3)
Adreian Payne,PF (4.0),29,720,-.122,-6.9000001,-1.8200001,13.9,10.5,2,2.9000001,.60000002,1.2,5.5999999,2014,min,75.800003,2014,matched (3)
Adreian Payne,PF (4.0),3,19,-.29699999,-12.3,-.12,12.6,10.1,0,0,0,2.5,10.1,2014,atl,75.800003,2014,matched (3)
Alec Peters,PF (4.0),20,225,-.023,-3.8,-.11,17.5,7.9000001,2.5999999,.89999998,.40000001,.40000001,2.8,2017,pho,73,2017,matched (3)
Alize Johnson,PF (4.0),14,64,-.064999998,-5.0999999,-.090000004,9.8000002,14.2,.80000001,0,2.2,.80000001,5.1999998,2018,ind,85,2018,matched (3)
Allonzo Trier,SG (2.0),64,1459,.046999998,-1.6,1.4400001,22.9,6.5,3.9000001,3.8,.5,.89999998,3.8,2018,nyk,71,2018,matched (3)
Andrew Wiggins,SF (3.0),82,2969,.023,-2.4000001,1.4400001,22.4,6,2.7,2.9000001,.80000001,1.4,3.0999999,2014,min,77.5,2014,matched (3)
Antonius Cleveland,SG (2.0),13,81,.027000001,-2.2,.050000001,5.9000001,5.9000001,1.2,1.2,2.4000001,3.5999999,6.5,2017,dal,46,2017,matched (3)
Antonius Cleveland,SG (2.0),4,42,-.081,-5.5999999,-.07,14.9,4.5999999,0,5.6999998,1.1,1.1,13.7,2017,atl,46,2017,matched (3)
Bam Adebayo,C (4.6),69,1368,.167,2.0999999,4.7600002,16.700001,13.4,3.5,2.3,1.4,1.1,4.8000002,2017,mia,90,2017,matched (3)
Bonzie Colson,SF (3.0),8,98,.2,3.2,.41,19.1,14.7,1.5,1.5,.5,2.4000001,1.5,2018,mil,97,2018,matched (3)
Bruce Brown Jr.,SF (3.0),74,1449,.037,-1.9,1.13,10.6,6.0999999,3,1.5,1.2,1.3,5.9000001,2018,det,65,2018,matched (3)
C.J. Wilcox,SG (3.0),21,101,-.068999998,-5.1999998,-.14,19.5,3.3,3.8,4.8000002,.5,1.4,3.3,2014,lac,7.8000002,2014,matched (3)
Caleb Swanigan,FC (4.0),27,189,-.11,-6.5,-.43000001,15.5,13.7,3.5999999,4.5999999,.80000001,1.3,9.3999996,2017,por,97,2017,matched (3)
Cameron Bairstow,FC (5.0),18,64,-.20999999,-9.6000004,-.28,7.5,6,.80000001,2.2,.80000001,1.5,6,2014,chi,31.700001,2014,matched (3)
Chandler Hutchison,GF (3.0),44,895,.127,.89999998,2.3599999,12.3,9.8999996,1.8,1.3,.30000001,1.2,3.2,2018,chi,80,2018,matched (3)
Chimezie Metu,PF (4.0),29,145,-.223,-10,-.67000002,16.9,11.9,4.3000002,5,.69999999,2,4.5999999,2018,sas,58,2018,matched (3)
Chris Boucher,FC (5.0),1,1,-1.216,-40.900002,-.029999999,0,48,0,0,0,0,0,2017,gsw,64,2017,matched (3)
Cleanthony Early,SF (3.0),39,647,-.017000001,-3.5999999,-.23,15.6,7.1999998,2.7,3,.89999998,1.8,4.1999998,2014,nyk,83,2014,matched (3)
Collin Sexton,PG (1.0),82,2605,-.052999999,-4.6999998,-2.8599999,25.299999,4.3000002,4.5,3.4000001,.1,.80000001,3.4000001,2018,cle,71,2018,matched (3)
D.J. Wilson,PF (4.0),22,71,.003,-3,0,14.2,6.8000002,2,2.7,.69999999,2,4.6999998,2017,mil,46,2017,matched (3)
Damyean Dotson,SF (2.5),44,474,.102,.1,1.01,18.4,8.5,3.0999999,1.7,.2,1.2,3.4000001,2017,nyk,62,2017,matched (3)
Davon Reed,SG (2.0),21,242,-.064000003,-5.0999999,-.31999999,12.5,7.6999998,2.5999999,2,.40000001,2,3.4000001,2017,pho,57,2017,matched (3)
De'Aaron Fox,PG (1.0),73,2026,-.056000002,-4.8000002,-2.3499999,20,4.8000002,7.5999999,4.0999999,.5,1.7,3.9000001,2017,sac,88,2017,matched (3)
Deandre Ayton,C (5.0),71,2183,.19599999,3,8.8999996,25.5,16,2.7,2.8,1.5,1.3,4.5999999,2018,pho,99,2018,matched (3)
