name,daysout
Alex Poythress,2
Jabari Bird,30
Joe Harris,2
Caris LeVert,60
Treveon Graham,20
Marvin Williams,9
Kris Dunn,7
Denzel Valentine,241
Bobby Portis,16
Sam Dekker,2
Ante Zizic,2
David Nwaba,2
Kevin Love,30
Dirk Nowitzki,13
Maxi Kleber,1
Isaiah Thomas,5
Will Barton,4
Michael Porter Jr.,12
Jarred Vanderbilt,12
Damian Jones,133
Alfonzo McKinnie,2
Draymond Green,7
DeMarcus Cousins,24
Carmelo Anthony,7
Victor Oladipo,13
Jerome Robinson,2
Luc Mbah a Moute,2
Rajon Rondo,7
Chandler Parsons,9
Dillon Brooks,20
Goran Dragic,4
Dion Waiters,12
John Henson,78
Nikola Mirotic,2
Elfrid Payton,30
Trey Burke,3
Lance Thomas,6
Kristaps Porzingis,22
Andre Roberson,38
Timofey Mozgov,2
Markelle Fultz,6
Wilson Chandler,2
Zhaire Smith,43
Justin Patton,29
Devin Booker,3
Caleb Swanigan,1
Pau Gasol,43
Dejounte Murray,241
Norman Powell,7
Dwight Howard,58
