"date","time_of_day","away","away_points","home","home_points","homewins","awaywins","loc","team","opp","daysrest","oppdaysrest","homedaysrest","awaydaysrest","rest_adjusted_hfa","wp"
2021-10-19,"7:30p","Brooklyn Nets",NA,"Milwaukee Bucks",NA,54.312641,45.964428,"away","Brooklyn Nets","Milwaukee Bucks",2,2,2,2,0.599,0.303281511604695
2021-10-19,"7:30p","Brooklyn Nets",NA,"Milwaukee Bucks",NA,54.312641,45.964428,"home","Milwaukee Bucks","Brooklyn Nets",2,2,2,2,0.599,0.696718488395305
2021-10-19,"10:00p","Golden State Warriors",NA,"Los Angeles Lakers",NA,44.668518,40.618141,"away","Golden State Warriors","Los Angeles Lakers",2,2,2,2,0.599,0.35449014219324
2021-10-19,"10:00p","Golden State Warriors",NA,"Los Angeles Lakers",NA,44.668518,40.618141,"home","Los Angeles Lakers","Golden State Warriors",2,2,2,2,0.599,0.64550985780676
2021-10-20,"7:00p","Indiana Pacers",NA,"Charlotte Hornets",NA,39.800102,43.908585,"away","Indiana Pacers","Charlotte Hornets",2,2,2,2,0.599,0.450009846539722
2021-10-20,"7:00p","Indiana Pacers",NA,"Charlotte Hornets",NA,39.800102,43.908585,"home","Charlotte Hornets","Indiana Pacers",2,2,2,2,0.599,0.549990153460278
2021-10-20,"7:00p","Chicago Bulls",NA,"Detroit Pistons",NA,24.243305,45.198608,"away","Chicago Bulls","Detroit Pistons",2,2,2,2,0.599,0.662024515328635
2021-10-20,"7:00p","Chicago Bulls",NA,"Detroit Pistons",NA,24.243305,45.198608,"home","Detroit Pistons","Chicago Bulls",2,2,2,2,0.599,0.337975484671365
2021-10-20,"7:30p","Boston Celtics",NA,"New York Knicks",NA,44.873619,45.801453,"away","Boston Celtics","New York Knicks",2,2,2,2,0.599,0.412043118964536
2021-10-20,"7:30p","Boston Celtics",NA,"New York Knicks",NA,44.873619,45.801453,"home","New York Knicks","Boston Celtics",2,2,2,2,0.599,0.587956881035464
2021-10-20,"7:30p","Washington Wizards",NA,"Toronto Raptors",NA,35.097378,36.266842,"away","Washington Wizards","Toronto Raptors",2,2,2,2,0.599,0.415014711498389
