team,teamwins,city,fullname,nickname,rgb
atl,49.451221,Atlanta,Atlanta Hawks,Hawks,225 68 52
bos,45.801453,Boston,Boston Celtics,Celtics,0 122 51
brk,45.964428,Brooklyn,Brooklyn Nets,Nets,0 0 0
cha,39.800102,Charlotte,Charlotte Hornets,Hornets,29 17 96
chi,45.198608,Chicago,Chicago Bulls,Bulls,206 17 65
cle,28.529375,Cleveland,Cleveland Cavaliers,Cavaliers,111 38 61
dal,48.034565,Dallas,Dallas Mavericks,Mavericks,0 83 188
den,43.24086,Denver,Denver Nuggets,Nuggets,81 145 205
det,24.243305,Detroit,Detroit Pistons,Pistons,0 107 182
gsw,40.618141,Golden State,Golden State Warriors,Warriors,253 185 39
hou,26.985378,Houston,Houston Rockets,Rockets,206 17 65
ind,43.908585,Indiana,Indiana Pacers,Pacers,0 45 98
lac,43.943474,L.A. Clippers,Los Angeles Clippers,Clippers,200 16 46
lal,44.668518,L.A. Lakers,Los Angeles Lakers,Lakers,85 37 130
mem,44.425838,Memphis,Memphis Grizzlies,Grizzlies,97 137 185
mia,40.602226,Miami,Miami Heat,Heat,152 0 46
mil,54.312641,Milwaukee,Milwaukee Bucks,Bucks,0 71 27
min,32.180462,Minnesota,Minnesota Timberwolves,Timberwolves,12 35 64
nor,46.608242,New Orleans,New Orleans Pelicans,Pelicans,0 22 65
nyk,44.873619,New York,New York Knicks,Knicks,0 107 182
okc,23.726463,Oklahoma City,Oklahoma City Thunder,Thunder,0 125 195
orl,20.459469,Orlando,Orlando Magic,Magic,0 125 197
phi,51.827961,Philadelphia,Philadelphia 76ers,76ers,0 107 182
pho,48.661514,Phoenix,Phoenix Suns,Suns,229 95 32
por,47.651798,Portland,Portland Trail Blazers,Trail Blazers,224 58 62
sac,37.002861,Sacramento,Sacramento Kings,Kings,91 43 130
sas,43.402569,San Antonio,San Antonio Spurs,Spurs,196 206 211
tor,35.097378,Toronto,Toronto Raptors,Raptors,206 17 65
uth,52.512112,Utah,Utah Jazz,Jazz,0 43 92
was,36.266842,Washington,Washington Wizards,Wizards,0 43 92
